seq,task_id,category,impl_status,priority,screen,route,page_entry,depends_on,req_ref,verify,detail_file
22,CMP-SCR003-DISCLOSURE-TIPS,COMPONENT,IMPLEMENT,S,SCR-003,—,—,CMP-SCR001-SAFETY-GRID-DRAWER,"REQ-FUNC-015, 017, 023, 025, 054",E2E-TRAVEL-TOOLS,TASKS/TASK-CMP-SCR003-DISCLOSURE-TIPS.md
23,CMP-SCR003-MATE-COMPOSER,COMPONENT,IMPLEMENT(축소),M,SCR-003,—,—,"AUTH-EMAIL-ADULT, SA-MATE-POST, TOOL-POLICY-PAGES","REQ-FUNC-027~029, 031, 032, 080","UNIT-CONTACT-DETECTION, E2E-MATE-AUTH",TASKS/TASK-CMP-SCR003-MATE-COMPOSER.md
24,CMP-SCR004-FILTER-BAR,COMPONENT,IMPLEMENT,M,SCR-004,—,—,"DB-ACCESS, TOOL-DESIGN-TOKENS","REQ-FUNC-030, REQ-NF-005",E2E-MATE-AUTH,TASKS/TASK-CMP-SCR004-FILTER-BAR.md
25,CMP-SCR004-MATE-LIST,COMPONENT,IMPLEMENT,M,SCR-004,—,—,"SA-MATE-POST, DB-ACCESS","REQ-FUNC-033, 037",E2E-MATE-AUTH,TASKS/TASK-CMP-SCR004-MATE-LIST.md
26,CMP-SCR004-MATE-DETAIL,COMPONENT,IMPLEMENT,M,SCR-004,—,—,"SA-MATE-POST, DB-ACCESS","REQ-FUNC-033, 037",E2E-MATE-AUTH,TASKS/TASK-CMP-SCR004-MATE-DETAIL.md
27,CMP-SCR004-APPLY-FLOW,COMPONENT,IMPLEMENT,M,SCR-004,—,—,"SA-MATE-APPLICATION, AUTH-EMAIL-ADULT","REQ-FUNC-034, 035","UNIT-MATE-STATE, E2E-MATE-AUTH",TASKS/TASK-CMP-SCR004-APPLY-FLOW.md
28,CMP-SCR004-REPORT-BLOCK,COMPONENT,IMPLEMENT,M,SCR-004,—,—,"SA-REPORT, SA-BLOCK, TOOL-POLICY-PAGES","REQ-FUNC-039, 040, 080",E2E-MATE-AUTH,TASKS/TASK-CMP-SCR004-REPORT-BLOCK.md
29,CMP-SCR005-GUEST-AUTH,COMPONENT,IMPLEMENT,M,SCR-005,—,—,AUTH-EMAIL-ADULT,"REQ-FUNC-028, 066",E2E-MATE-AUTH,TASKS/TASK-CMP-SCR005-GUEST-AUTH.md
30,CMP-SCR005-PROFILE,COMPONENT,IMPLEMENT(축소),M,SCR-005,—,—,"DB-ACCESS, SA-ACCOUNT-DELETE","REQ-FUNC-029, 045",E2E-MATE-AUTH,TASKS/TASK-CMP-SCR005-PROFILE.md
31,CMP-SCR005-MY-ACTIVITY,COMPONENT,IMPLEMENT,M,SCR-005,—,—,"SA-MATE-POST, SA-MATE-APPLICATION, SA-BLOCK","REQ-FUNC-036, 038, 040",E2E-MATE-AUTH,TASKS/TASK-CMP-SCR005-MY-ACTIVITY.md
32,CMP-SCR005-ADMIN-REPORTS,COMPONENT,IMPLEMENT(축소),M,SCR-005,—,—,SA-REPORT,REQ-FUNC-041,E2E-MATE-AUTH,TASKS/TASK-CMP-SCR005-ADMIN-REPORTS.md
33,CMP-SCR005-ADMIN-URL-SETTINGS,COMPONENT,IMPLEMENT,M,SCR-005,—,—,SA-EXTERNAL-URL-SETTINGS,REQ-FUNC-077,E2E-MATE-AUTH,TASKS/TASK-CMP-SCR005-ADMIN-URL-SETTINGS.md
34,DATA-DESTINATIONS,DATA,IMPLEMENT,M,SCR-001,N/A,N/A,없음,"REQ-FUNC-001, 002, 003, 004, 005, 007, 008, 009, 010","TOOL-CONTENT-VALIDATION-SCRIPT, CI-PIPELINE",TASKS/TASK-DATA-DESTINATIONS.md
35,DATA-SAFETY,DATA,IMPLEMENT,M,SCR-001,N/A,N/A,없음,REQ-FUNC-046~054,"TOOL-CONTENT-VALIDATION-SCRIPT, CI-PIPELINE",TASKS/TASK-DATA-SAFETY.md
36,DATA-REPRESENTATIVE,DATA,IMPLEMENT,M,SCR-002,N/A,N/A,없음,REQ-FUNC-057~063,CI-PIPELINE,TASKS/TASK-DATA-REPRESENTATIVE.md
37,DB-SCHEMA-BASE,DB,IMPLEMENT,M,공통,N/A,N/A,없음,REQ-NF-013,"TEST-RLS-BASIC, CI-PIPELINE",TASKS/TASK-DB-SCHEMA-BASE.md
38,DB-RLS-BASE,DB,IMPLEMENT,M,공통,N/A,N/A,DB-SCHEMA-BASE,"REQ-FUNC-044, REQ-NF-013, 014",TEST-RLS-BASIC,TASKS/TASK-DB-RLS-BASE.md
39,DB-ACCESS,DB,IMPLEMENT,M,공통,N/A,N/A,DB-SCHEMA-BASE,"REQ-NF-015, 017","TEST-RLS-BASIC, CI-PIPELINE",TASKS/TASK-DB-ACCESS.md
40,DB-SEED-BASE,DB,IMPLEMENT,S,공통,N/A,N/A,DB-SCHEMA-BASE,(직접 REQ 없음 — 개발/QA 보조),E2E-MATE-AUTH,TASKS/TASK-DB-SEED-BASE.md
41,AUTH-EMAIL-ADULT,AUTH,IMPLEMENT,M,SCR-005,N/A,N/A,"DB-SCHEMA-BASE, DB-RLS-BASE","REQ-FUNC-027, 028, 066",E2E-MATE-AUTH,TASKS/TASK-AUTH-EMAIL-ADULT.md
42,SA-MATE-POST,SERVER_ACTION,IMPLEMENT,M,"SCR-003, SCR-004, SCR-005",N/A,N/A,"DB-ACCESS, AUTH-EMAIL-ADULT","REQ-FUNC-031, 032, 037, 038","UNIT-CONTACT-DETECTION, UNIT-MATE-STATE, E2E-MATE-AUTH",TASKS/TASK-SA-MATE-POST.md
43,SA-MATE-APPLICATION,SERVER_ACTION,IMPLEMENT,M,"SCR-004, SCR-005",N/A,N/A,"DB-ACCESS, SA-MATE-POST","REQ-FUNC-034, 035, 036","UNIT-MATE-STATE, E2E-MATE-AUTH",TASKS/TASK-SA-MATE-APPLICATION.md
44,SA-BLOCK,SERVER_ACTION,IMPLEMENT,M,"SCR-004, SCR-005",N/A,N/A,"DB-ACCESS, AUTH-EMAIL-ADULT",REQ-FUNC-040,E2E-MATE-AUTH,TASKS/TASK-SA-BLOCK.md
45,SA-REPORT,SERVER_ACTION,IMPLEMENT(축소),M,"SCR-004, SCR-005",N/A,N/A,"DB-ACCESS, AUTH-EMAIL-ADULT","REQ-FUNC-039, 041, REQ-NF-019",E2E-MATE-AUTH,TASKS/TASK-SA-REPORT.md
46,SA-EXTERNAL-URL-SETTINGS,SERVER_ACTION,IMPLEMENT,M,SCR-005,N/A,N/A,DB-ACCESS,REQ-FUNC-077,E2E-MATE-AUTH,TASKS/TASK-SA-EXTERNAL-URL-SETTINGS.md
47,SA-ACCOUNT-DELETE,SERVER_ACTION,IMPLEMENT(축소),M,SCR-005,N/A,N/A,"DB-ACCESS, AUTH-EMAIL-ADULT",REQ-FUNC-045,E2E-MATE-AUTH,TASKS/TASK-SA-ACCOUNT-DELETE.md
48,SA-FAVORITES-LOCALSTORAGE,SERVER_ACTION,IMPLEMENT,S,SCR-001,N/A,N/A,없음,REQ-FUNC-068,E2E-PUBLIC-SMOKE,TASKS/TASK-SA-FAVORITES-LOCALSTORAGE.md
49,SA-TOAST-NOTIFICATIONS,SERVER_ACTION,IMPLEMENT(축소),S,공통,N/A,N/A,TOOL-DESIGN-TOKENS,REQ-FUNC-043,E2E-MATE-AUTH,TASKS/TASK-SA-TOAST-NOTIFICATIONS.md
50,TOOL-DESIGN-TOKENS,TOOLING,IMPLEMENT,M,공통,N/A,N/A,없음,"REQ-FUNC-065, 079, REQ-NF-001~003, 006, 023",MANUAL-RESPONSIVE-A11Y-CHECK,TASKS/TASK-TOOL-DESIGN-TOKENS.md
51,TOOL-LAYOUT-SHELL,TOOLING,IMPLEMENT(축소),M,공통,N/A,`src/app/layout.tsx`(기존 파일 수정),"TOOL-DESIGN-TOKENS, SA-TOAST-NOTIFICATIONS","REQ-FUNC-027, 043, 064, 065, 079",E2E-PUBLIC-SMOKE,TASKS/TASK-TOOL-LAYOUT-SHELL.md
52,TOOL-ERROR-NOTFOUND,TOOLING,IMPLEMENT,M,기술 Route,`*`,"`src/app/not-found.tsx`, `src/app/error.tsx`",TOOL-DESIGN-TOKENS,REQ-FUNC-078,MANUAL-RESPONSIVE-A11Y-CHECK,TASKS/TASK-TOOL-ERROR-NOTFOUND.md
53,TOOL-SEO-METADATA,TOOLING,IMPLEMENT,S,공통,N/A,N/A,없음,"REQ-FUNC-070, REQ-NF-030",CI-PIPELINE,TASKS/TASK-TOOL-SEO-METADATA.md
54,TOOL-CONTENT-VALIDATION-SCRIPT,TOOLING,IMPLEMENT,M,N/A,N/A,N/A,"DATA-DESTINATIONS, DATA-SAFETY","REQ-FUNC-008, 046, REQ-NF-026, 027, 028",CI-PIPELINE,TASKS/TASK-TOOL-CONTENT-VALIDATION-SCRIPT.md
55,TOOL-POLICY-PAGES,TOOLING,IMPLEMENT,M,비핵심 정적 페이지,`/legal/*`,`src/app/legal/*/page.tsx`,없음,REQ-FUNC-080,E2E-MATE-AUTH,TASKS/TASK-TOOL-POLICY-PAGES.md
56,UNIT-TRAVEL-DATES,UNIT_TEST,IMPLEMENT,M,SCR-003,N/A,N/A,"CMP-SCR003-FLIGHT-FORM, CMP-SCR003-HOTEL-FORM","REQ-FUNC-013, 021",자체 실행(CI-PIPELINE에 포함),TASKS/TASK-UNIT-TRAVEL-DATES.md
57,UNIT-CONTACT-DETECTION,UNIT_TEST,IMPLEMENT,M,SCR-003,N/A,N/A,SA-MATE-POST,REQ-FUNC-032,자체 실행(CI-PIPELINE에 포함),TASKS/TASK-UNIT-CONTACT-DETECTION.md
58,UNIT-MATE-STATE,UNIT_TEST,IMPLEMENT,M,SCR-004,N/A,N/A,"SA-MATE-POST, SA-MATE-APPLICATION","REQ-FUNC-035, 036, 037",자체 실행(CI-PIPELINE에 포함),TASKS/TASK-UNIT-MATE-STATE.md
59,TEST-RLS-BASIC,DB_TEST,IMPLEMENT,M,공통,N/A,N/A,"DB-RLS-BASE, DB-ACCESS","REQ-FUNC-044, REQ-NF-013, 014",자체 실행(CI-PIPELINE에 포함),TASKS/TASK-TEST-RLS-BASIC.md
60,E2E-PUBLIC-SMOKE,E2E_TEST,IMPLEMENT,M,"SCR-001, SCR-002","`/`, `/about`",N/A,"PAGE-SCR001, PAGE-SCR002","REQ-FUNC-001~010, 046~054, 057~063, 064, 068",`npx playwright test e2e/public-smoke.spec.ts --project=chromium`,TASKS/TASK-E2E-PUBLIC-SMOKE.md
61,E2E-TRAVEL-TOOLS,E2E_TEST,IMPLEMENT,M,SCR-003,`/travel-tools`,N/A,PAGE-SCR003,"REQ-FUNC-011~026, 031, 054",`npx playwright test e2e/travel-tools-smoke.spec.ts --project=chromium`,TASKS/TASK-E2E-TRAVEL-TOOLS.md
62,E2E-MATE-AUTH,E2E_TEST,IMPLEMENT,M,"SCR-004, SCR-005","`/mates`, `/account`",N/A,"PAGE-SCR004, PAGE-SCR005","REQ-FUNC-027~041, 043~045, 066, 077, 080",`npx playwright test e2e/mate-auth-smoke.spec.ts --project=chromium`,TASKS/TASK-E2E-MATE-AUTH.md
63,CI-PIPELINE,CI_RELEASE,IMPLEMENT,M,N/A,N/A,N/A,"UNIT-TRAVEL-DATES, UNIT-CONTACT-DETECTION, UNIT-MATE-STATE, TEST-RLS-BASIC, TOOL-CONTENT-VALIDATION-SCRIPT",REQ-NF-031,GitHub Actions 실행 결과(자체 검증),TASKS/TASK-CI-PIPELINE.md
64,RELEASE-VERCEL-SUPABASE-CHECK,CI_RELEASE,IMPLEMENT,M,N/A,N/A,N/A,CI-PIPELINE,"REQ-NF-012, 016, 034",Manual(배포 담당자 실행),TASKS/TASK-RELEASE-VERCEL-SUPABASE-CHECK.md
65,MANUAL-RESPONSIVE-A11Y-CHECK,MANUAL_CHECK,IMPLEMENT,S,"SCR-001, SCR-002, SCR-003, SCR-004, SCR-005",전체,N/A,"PAGE-SCR001, PAGE-SCR002, PAGE-SCR003, PAGE-SCR004, PAGE-SCR005","REQ-FUNC-007, 061, 065, 078, 079, REQ-NF-001~003, 006, 023, 025",Manual(개발자/QA 실행 후 이 파일에 결과 기록),TASKS/TASK-MANUAL-RESPONSIVE-A11Y-CHECK.md
